Shipment ID	FBA15STTRFKX
Name	FBA (10/29/20, 6:28 AM) - 3
Plan ID	PLN3531BY0
Ship To	TPA3, 676 C Fred Jones Blvd, Auburndale, FL, US, 33823-9429
Total SKUs	1
Total Units	28
shipment-total-cases	2
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Size -15” Round, Color - Natural Jute. (15'' Round)	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	2	28
