Shipment ID	FBA15T8KD4RV
Name	FBA (11/10/20, 12:00 AM) - 4
Plan ID	PLN360W4PN
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	21
Total Units	455
shipment-total-cases	32
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	4	48
B003-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	"--"	"--"	"--"	12	3	36
B003-3	Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	"--"	"--"	"--"	12	1	12
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	1	12
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	2	24
B030-6	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Brown Beige, 24" W x 60'' L	B07TJVDZ7K	B07TJVDZ7K	EAN : 8902552051511	New	"--"	"--"	"--"	8	1	8
B030-7	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath. Gray-Charcoal, 24" W x 60'' L	B07TLY8PKK	B07TLY8PKK	EAN : 8902552051528	New	"--"	"--"	"--"	8	1	8
B035-1	Chardin home New Cordural Solid Bath Runner with Latex Spray Non-Skid Backing, 24" W x 60'' L, Gray	B0779GS3JJ	B0779GS3JJ	EAN : 8902552050286	New	"--"	"--"	"--"	8	1	8
B036-4	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing.	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	"--"	"--"	"--"	20	1	20
B036-9	Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, Provencial Blue	B08CZS7K2T	X002L2XS5P	EAN : 8903540506259	New	"--"	"--"	Merchant	20	1	20
B037-2	Chardin Home - 100% Pure Cotton - Crochet Bath Rug with Latex Spray Non-Skid Backing, Size: 21''x34'', Pink	B07VKCFJCS	B07VKCFJCS	EAN : 8902552051580	New	"--"	"--"	"--"	20	1	20
CU003-1	Chardin home – Diamond Design Black/Ivory 20" X20” Throw Pillow Covers (Set of 2).	B07P79C1Q6	B07P79C1Q6	EAN : 8902552051252	New	"--"	"--"	"--"	16	1	16
PM003	Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13"x19"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	4	64
PM006	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Gray-Charcoal, 13''x19'')	B07P9HLP7Q	B07P9HLP7Q	EAN : 8902552051337	New	"--"	"--"	"--"	20	1	20
R002-1	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Black & White	B01H27JW2U	B01H27JW2U	EAN : 8902552045992	New	"--"	"--"	"--"	20	2	40
R002-20	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Taupe-White)	B07TKV11VL	B07TKV11VL	EAN : 8902552051740	New	"--"	"--"	"--"	9	1	9
R022-1	Chardin home Rainbow Shag Rug, 20" x 30", Multi-Colored (Multi)	B07CL7J1MN	B07CL7J1MN	EAN : 8902552050972	New	"--"	"--"	"--"	16	1	16
R073-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (2'x5')	B08D3GNCDC	X002L40TDH	EAN : 8903540506167	New	"--"	"--"	Merchant	8	1	8
TR001	Chardin Home Eco-friendly Natural Jute/hemp Table Runner, Size: 13”x72”	B074WHWSGM	B074WHWSGM	EAN : 8902552050118	New	"--"	"--"	"--"	20	1	20
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	2	26
TR005-1	Chardin home Eco-Friendly Natural Jute/Cotton Table Runner, Size: 13"x72". Jute/Aqua-Turquoise	B07PBJ6YK1	B07PBJ6YK1	EAN : 8902552051368	New	"--"	"--"	"--"	20	1	20
