Shipment ID	FBA15V0M2JG8
Name	FBA (11/26/20, 11:30 PM) - 4
Plan ID	PLN37NY6LL
Ship To	MCO2, 2600 N Normandy Blvd, Deltona, FL, US, 32725-2610
Total SKUs	3
Total Units	193
shipment-total-cases	21
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	"--"	"--"	"--"	1	7	7
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Color - Natural Jute. Size: 15'' Round	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	13	182
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	4	1	4
